source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'cnn', 'name': 'CNN'}",Elisabeth Buchwald,Howard Lutnick says ‘deal’ has been reached on auto tariffs - CNN,"Commerce Secretary Howard Lutnick appeared to confirm reporting on​ Monday that a deal has been reached with automakers to​ ease tariffs, in another potential policy reversal that could grant a major reprieve for a beleaguered industry.",https://www.cnn.com/2025/04/28/business/us-auto-tariffs-easing-deal-intl-hnk/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2207316675.jpg?c=16x9&q=w_800,c_fill",2025-04-29T05:59:33Z,"US Commerce Secretary Howard Lutnick appeared to confirm reporting on Monday that a deal has been reached with automakers to ease tariffs, in another potential policy reversal that could grant a majo… [+4332 chars]"
"{'id': None, 'name': 'CNBC'}",Lee Ying Shan,HSBC announces share buyback of up to $3 billion as first-quarter results top expectations - CNBC,"The bank's profit before tax declined 25% on a year-on-year basis. Revenue fell 15% from last year. Profit, however, soared nearly 317% from the previous quarter.",https://www.cnbc.com/2025/04/29/hsbc-q1-2025-earnings.html,https://image.cnbcfm.com/api/v1/image/108093280-1738060019346-gettyimages-1965851722-20240115_hsbc_001.jpeg?v=1738060029&w=1920&h=1080,2025-04-29T04:12:05Z,Europe's largest lender HSBC's first-quarter results on Tuesday beat estimates on the back of robust performance of its wealth business as well as strength in its corporate and institutional banking … [+2367 chars]
"{'id': 'associated-press', 'name': 'Associated Press'}",Rob Gillies,Carney's Liberal party wins Canadian election and completes a stunning turnaround fueled by Trump - AP News,"Prime Minister Mark Carney’s Liberal Party has won Canada’s federal election, capping a stunning turnaround in fortunes fueled by U.S. President Donald Trump’s threats to Canada’s economy and sovereignty. The Liberals are projected to win more of Parliament’s…",https://apnews.com/article/canada-election-trump-carney-poilievre-861f5b00794355b231ee3f218568949b,https://dims.apnews.com/dims4/default/b08e529/2147483647/strip/true/crop/3000x1688+0+157/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F10%2F5e%2F044d862f41bde054c9429acfd478%2F9639629dc847420f9c884dde0461ab92,2025-04-29T03:42:00Z,"TORONTO (AP) Prime Minister Mark Carneys Liberal Party won Canadas federal election on Monday, capping a stunning turnaround in fortunes fueled by U.S. President Donald Trumps annexation threats and … [+5622 chars]"
"{'id': None, 'name': 'Variety'}",Steven J. Horowitz,Beyoncé Set List: Every Song Played on ‘Cowboy Carter’ Tour Opener in Los Angeles (UPDATING LIVE) - Variety,Beyoncé kicked off her 'Cowboy Carter' tour at Los Angeles' SoFi Stadium on Apr. 28.,https://variety.com/2025/music/news/beyonce-set-list-every-song-played-cowboy-carter-tour-1236380629/,https://variety.com/wp-content/uploads/2025/04/GettyImages-2191421242.jpg?w=1000&h=563&crop=1,2025-04-29T03:30:00Z,"Beyoncé kicked off her highly anticipated “Cowboy Carter” tour at Los Angeles’ SoFi Stadium tonight, giving the first look at her 32-date trek spanning nine global cities.
The show is the first tast… [+1848 chars]"
"{'id': None, 'name': 'Investing.com'}",Ayushman Ojha,Asia stocks: automakers climb on Trump tariff relief; China lags on stimulus delay - Investing.com,Asia stocks: automakers climb on Trump tariff relief; China lags on stimulus delay,https://www.investing.com/news/stock-market-news/asia-stocks-automakers-climb-on-trump-tariff-relief-china-lags-on-stimulus-delay-4008669,https://i-invdn-com.investing.com/news/LYNXMPEB310J3_L.jpg,2025-04-29T03:25:05Z,"Investing.com-- Most Asian stock markets advanced on Tuesday, led by gains in automakers after the U.S. moved to soften the impact of auto tariffs, while mainland Chinese stocks ticked down as Beijin… [+2487 chars]"
"{'id': None, 'name': 'New York Post'}",Christian Arnold,UNC growing ‘concerned’ over Jordon Hudson’s influence on Bill Belichick - New York Post,People at the University of North Carolina are becoming “concerned” about Jordon Hudson’s influence on head football coach Bill Belichick.,https://nypost.com/2025/04/28/sports/unc-growing-concerned-over-jordon-hudsons-influence-on-bill-belichick/,https://nypost.com/wp-content/uploads/sites/2/2025/04/newspress-collage-8ytvolh2o-1745893572109.jpg?quality=75&strip=all&1745879219&w=1024,2025-04-29T02:47:00Z,"People at the University of North Carolina are becoming concerned about Jordon Hudsons influence on head football coach Bill Belichick. 
The latest revelation was reported on Monday night by TMZ, a … [+2850 chars]"
"{'id': None, 'name': 'Minneapolis Star Tribune'}","Tim Harlow, Elliot Hughes, Tim Harlow",Twin Cities tornado watch ends early on Monday night - Star Tribune,"A tornado watch covering the Twin Cities area was meant to last until 11 p.m., but it was canceled before 7 p.m.",https://www.startribune.com/weather-minneapolis-minnesota-hail-tornadoes/601341081,https://arc.stimg.co/startribunemedia/5VEI5COPFZDDDLMQRTQUBOWGOQ.jpg?&w=1200&ar=1.91:1&fit=crop,2025-04-29T02:37:30Z,"It was a busy day at the National Weather Service offices in Chanhassen, where meteorologist Nick Carletta had his eyes on six screens, watching for storms that threatened to bring violent weather to… [+1910 chars]"
"{'id': None, 'name': 'NPR'}",Ayana Archie,Congress approves a revenge porn bill backed by First Lady Melania Trump - NPR,"Melania Trump has voiced support for the bill, which is in line with her ""BE BEST"" initiative. It is dedicated to child welfare and was started during President Trump's first term.",https://www.npr.org/2025/04/28/nx-s1-5380236/take-it-down-act-melania-trump,https://npr.brightspotcdn.com/dims3/default/strip/false/crop/1917x1078+0+0/resize/1400/quality/100/format/jpeg/?url=http%3A%2F%2Fnpr-brightspot.s3.amazonaws.com%2Fc4%2F06%2Fde90ea5d45df8fcdc01950c5d99f%2Fap19309735306017.jpg,2025-04-29T02:34:24Z,"A bill supported by Melania Trump that aims to implement strict penalties and guidelines for those who publish and promote revenge porn is on its way to President Trump's desk. 
More than 400 House … [+2211 chars]"
"{'id': None, 'name': 'CBS Sports'}",,"Heat Culture is finally starting to show cracks, so what's next for Miami after getting swept by the Cavs? - CBS Sports","After the Jimmy Butler trade saga and an ugly first-round playoff exit, is the NBA outgrowing Heat Culture?",https://www.cbssports.com/nba/news/heat-culture-is-finally-starting-to-show-cracks-so-whats-next-for-miami-after-getting-swept-by-the-cavs/,https://sportshub.cbsistatic.com/i/r/2025/04/28/f086f67d-ce92-46b0-b160-b95dce95c0ab/thumbnail/1200x675/49c4b22caea8426c11e3c33298dc8519/heat-getty.png,2025-04-29T02:14:00Z,"The San Antonio Spurs were the picture of NBA stability for the better part of 20 years. Then Tim Duncan retired. Within two years, LaMarcus Aldridge had attempted to force a trade and Kawhi Leonard … [+10650 chars]"
"{'id': 'the-washington-post', 'name': 'The Washington Post'}","Perry Stein, Jeremy Roebuck",Civil rights lawyers leave en masse as Justice Dept. mission shifts - The Washington Post,"Civil rights division director Harmeet K. Dhillon has redirected her staff to focus on combating antisemitism, anti-Christian bias and what she calls “woke ideology.”",https://www.washingtonpost.com/national-security/2025/04/28/justice-civil-rights-harmeet-dhillon-trump/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/PQKBPE5VYL3ZPOUBFVJC4I7QWE.JPG&w=1440,2025-04-29T01:30:29Z,"The new head of the Justice Departments civil rights division is dramatically reshaping the office to propel President Donald Trumps social agenda, prompting the departure of about half of the divisi… [+7623 chars]"
